Epochs,N_modes,Loss
1269,3,2.1146966610103798e-03
1270,3,2.1150389220565601e-03
1271,3,2.1153804846107999e-03
1272,3,2.11572251282632e-03
1273,3,2.1160650067031401e-03
1274,3,2.11640726774931e-03
1275,3,2.1167488303035502e-03
1276,3,2.11709039285779e-03
1277,3,2.1174324210733201e-03
1278,3,2.11777468211949e-03
1279,3,2.1181174088269498e-03
1280,3,2.11846013553441e-03
1281,3,2.1188023965805799e-03
1282,3,2.1191439591348202e-03
1283,3,2.1194848231971299e-03
1284,3,2.1198247559368602e-03
1285,3,2.12016399018466e-03
1286,3,2.1205020602792501e-03
1287,3,2.1208391990512601e-03
1288,3,2.1211761049926298e-03
1289,3,2.1215144079178602e-03
1290,3,2.1218541078269499e-03
1291,3,2.1221940405666802e-03
1292,3,2.1225335076451302e-03
1293,3,2.1228720434009998e-03
1294,3,2.1232084836810801e-03
1295,3,2.12354212999344e-03
1296,3,2.1238722838461399e-03
1297,3,2.12419871240854e-03
1298,3,2.1245232783258e-03
1299,3,2.1248462144285401e-03
1300,3,2.1251691505312898e-03
1301,3,2.12549162097275e-03
1302,3,2.12581269443035e-03
1303,3,2.1261323709040902e-03
1304,3,2.1264548413455499e-03
1305,3,2.1267815027386002e-03
1306,3,2.1271083969622898e-03
1307,3,2.1274311002343902e-03
1308,3,2.1277493797242598e-03
1309,3,2.1280660293996299e-03
1310,3,2.1283829119056498e-03
1311,3,2.1286988630890799e-03
1312,3,2.1290124859660899e-03
1313,3,2.1293240133673e-03
1314,3,2.1296325139701401e-03
1315,3,2.1299365907907499e-03
1316,3,2.1302383393049201e-03
1317,3,2.13054195046425e-03
1318,3,2.1308483555913002e-03
1319,3,2.1311533637344798e-03
1320,3,2.1314532496035099e-03
1321,3,2.13174801319838e-03
1322,3,2.1320409141480901e-03
1323,3,2.1323342807591e-03
1324,3,2.1326271817088101e-03
1325,3,2.13291868567467e-03
1326,3,2.13320809416473e-03
1327,3,2.1334954071790002e-03
1328,3,2.1337803918868299e-03
1329,3,2.1340625826269401e-03
1330,3,2.1343424450606099e-03
1331,3,2.1346202120184898e-03
1332,3,2.13489658199251e-03
1333,3,2.1351722534745901e-03
1334,3,2.1354486234486099e-03
1335,3,2.1357245277613401e-03
1336,3,2.1359983365982801e-03
1337,3,2.13626795448363e-03
1338,3,2.13653314858675e-03
1339,3,2.13679485023022e-03
1340,3,2.13705422356725e-03
1341,3,2.1373117342591299e-03
1342,3,2.1375657524913502e-03
1343,3,2.1378169767558601e-03
1344,3,2.1380677353590701e-03
1345,3,2.1383217535912999e-03
1346,3,2.1385799627751099e-03
1347,3,2.1388370078057098e-03
1348,3,2.13908799923956e-03
1349,3,2.13933177292347e-03
1350,3,2.1395725198090098e-03
1351,3,2.1398155950009801e-03
1352,3,2.1400640252977601e-03
1353,3,2.1403150167316198e-03
1354,3,2.1405627485364702e-03
1355,3,2.1408037282526502e-03
1356,3,2.14103749021888e-03
1357,3,2.1412670612335201e-03
1358,3,2.1414966322481602e-03
1359,3,2.1417280659079599e-03
1360,3,2.1419601980596798e-03
1361,3,2.14219046756625e-03
1362,3,2.1424151491373799e-03
1363,3,2.14263494126499e-03
1364,3,2.1428526379167999e-03
1365,3,2.14307126589119e-03
1366,3,2.14329035952687e-03
1367,3,2.1435073576867602e-03
1368,3,2.1437208633869899e-03
1369,3,2.1439311094582098e-03
1370,3,2.14413949288428e-03
1371,3,2.1443467121571298e-03
1372,3,2.14455276727676e-03
1373,3,2.1447571925818898e-03
1374,3,2.1449592895805801e-03
1375,3,2.1451588254421902e-03
1376,3,2.1453564986586601e-03
1377,3,2.14555230922997e-03
1378,3,2.1457467228174201e-03
1379,3,2.1459395065903698e-03
1380,3,2.1461304277181599e-03
1381,3,2.1463192533701702e-03
1382,3,2.1465062163770199e-03
1383,3,2.1466910839080802e-03
1384,3,2.14687408879399e-03
1385,3,2.1470549982041099e-03
1386,3,2.1472342777997299e-03
1387,3,2.1474116947501902e-03
1388,3,2.1475870162248598e-03
1389,3,2.1477600093930999e-03
1390,3,2.1479304414242502e-03
1391,3,2.1480983123183298e-03
1392,3,2.1482638549059599e-03
1393,3,2.14842823334038e-03
1394,3,2.1485919132828699e-03
1395,3,2.1487548947334298e-03
1396,3,2.1489157807081899e-03
1397,3,2.1490736398845898e-03
1398,3,2.14922777377069e-03
1399,3,2.1493791136890602e-03
1400,3,2.14952928945422e-03
1401,3,2.1496806293726002e-03
1402,3,2.1498345304280502e-03
1403,3,2.14998936280608e-03
1404,3,2.15014209970832e-03
1405,3,2.1502908784896101e-03
1406,3,2.1504368633031802e-03
