,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
227,227.0,0.005624644626838489,1.0,0.0012199246865119118,2.0,0.002018702468155011,821.0
228,228.0,0.005557879736451195,1.0,0.001226888795144206,2.0,0.002019318622259495,822.0
229,229.0,0.005492143378588748,1.0,0.001233809070658787,2.0,0.0020199335765104503,823.0
230,230.0,0.005427338670554069,1.0,0.0012406855423927052,2.0,0.002020547082704581,824.0
231,231.0,0.005363474398456379,1.0,0.001247518328600031,2.0,0.002021158761616113,825.0
232,232.0,0.005300543812465279,1.0,0.001254307456515304,2.0,0.002021768359442184,826.0
233,233.0,0.005238515065144741,1.0,0.0012610529922000913,2.0,0.0020223759367171074,827.0
234,234.0,0.005177359443838647,1.0,0.0012677550210338211,2.0,0.0020229814792881383,828.0
235,235.0,0.005117084514298729,1.0,0.0012744136153838273,2.0,0.002023584754152121,829.0
236,236.0,0.005057678360109067,1.0,0.0012810288374419893,2.0,0.002024185634966677,830.0
237,237.0,0.004999095838238467,1.0,0.0012876007848736494,2.0,0.002024784062327722,831.0
238,238.0,0.004941322748579474,1.0,0.0012941295657366086,2.0,0.0020253798854725073,832.0
239,239.0,0.004884361869736457,1.0,0.0013006152547533096,2.0,0.0020259729758714626,833.0
240,240.0,0.004828203821209731,1.0,0.0013070579321730195,2.0,0.002026563211369932,834.0
241,241.0,0.004772822713311551,1.0,0.0013134577055028756,2.0,0.002027150446106126,835.0
242,242.0,0.004718188968609799,1.0,0.001319814693432288,2.0,0.0020277346708135816,836.0
243,243.0,0.004664299392268837,1.0,0.0013261290035197662,2.0,0.002028315917503933,837.0
244,244.0,0.0046111523758816265,1.0,0.0013324007263418433,2.0,0.0020288939991145206,838.0
245,245.0,0.004558731217872199,1.0,0.001338629969768142,2.0,0.0020294686793021696,839.0
246,246.0,0.004507011825621002,1.0,0.0013448168608824953,2.0,0.002030039894663333,840.0
247,247.0,0.004455978841049379,1.0,0.001350961525425559,2.0,0.0020306076162079994,841.0
248,248.0,0.004405624574496956,1.0,0.001357064077132967,2.0,0.0020311716965719416,842.0
249,249.0,0.004355943865074549,1.0,0.0013631246287915976,2.0,0.002031731895600944,843.0
250,250.0,0.00430692395245639,1.0,0.001369143302161957,2.0,0.00203228794329121,844.0
251,251.0,0.004258542136169196,1.0,0.0013751202311129153,2.0,0.002032839607872438,845.0
252,252.0,0.0042107904043491885,1.0,0.0013810555508591933,2.0,0.0020333867996101813,846.0
253,253.0,0.004163656328881703,1.0,0.0013869493836826286,2.0,0.002033930044506639,847.0
254,254.0,0.0041171337722935505,1.0,0.0013928018586113933,2.0,0.0020344704973919423,848.0
255,255.0,0.004071212084517035,1.0,0.0013986131049010752,2.0,0.002035008299212273,849.0
256,256.0,0.004025877335187578,1.0,0.0014043832604006751,2.0,0.0020355420490804936,850.0
257,257.0,0.00398111970338392,1.0,0.0014101124649050182,2.0,0.002036071010126493,851.0
258,258.0,0.003936926041690219,1.0,0.0014158008550981208,2.0,0.002036595954511359,852.0
259,259.0,0.0038932906762490123,1.0,0.0014214485698927437,2.0,0.002037116696411028,853.0
260,260.0,0.003850202611694156,1.0,0.0014270557453019222,2.0,0.0020376320766162287,854.0
261,261.0,0.003807653253199344,1.0,0.0014326225246747081,2.0,0.002038142288932615,855.0
262,262.0,0.003765633227942122,1.0,0.0014381490507834112,2.0,0.002038648835260527,856.0
263,263.0,0.003724132018686915,1.0,0.001443635468884077,2.0,0.0020391522628137922,857.0
264,264.0,0.0036831410529060394,1.0,0.0014490819252532818,2.0,0.002039651235633323,858.0
265,265.0,0.0036426515813187703,1.0,0.0014544885651692303,2.0,0.002040144542971213,859.0
266,266.0,0.0036026557047591206,1.0,0.0014598555353687232,2.0,0.0020406325180270103,860.0
267,267.0,0.0035631438046289385,1.0,0.0014651829834617413,2.0,0.0020411162276349746,861.0
268,268.0,0.003524108117483247,1.0,0.0014704710588531137,2.0,0.002041596043638973,862.0
269,269.0,0.003485538725604302,1.0,0.0014757199099019003,2.0,0.0020420712648331306,863.0
270,270.0,0.0034474276615516653,1.0,0.0014809296863232055,2.0,0.002042541172812943,864.0
271,271.0,0.0034097612057961634,1.0,0.0014861005356926428,2.0,0.0020430060836945717,865.0
272,272.0,0.0033725288432490284,1.0,0.0014912326060078191,2.0,0.0020434666915675054,866.0
273,273.0,0.003335704414558037,1.0,0.0014963260367879421,2.0,0.0020439227057150963,867.0
274,274.0,0.0032993038071227696,1.0,0.0015013809634488963,2.0,0.0020443734817704017,868.0
275,275.0,0.003263380218968156,1.0,0.0015063974933871365,2.0,0.0020448193600682792,869.0
276,276.0,0.0032279537159682964,1.0,0.0015113757687936096,2.0,0.0020452608002684176,870.0
277,277.0,0.0031927977994451917,1.0,0.0015163160235457359,2.0,0.0020456974459924088,871.0
278,278.0,0.003157901897556915,1.0,0.0015212185340269854,2.0,0.0020461289740340265,872.0
279,279.0,0.0031236165450334746,1.0,0.0015260832432313232,2.0,0.0020465556109785996,873.0
280,280.0,0.0030897569889279616,1.0,0.0015309100857485254,2.0,0.0020469775036762563,874.0
281,281.0,0.003056036434763843,1.0,0.0015356995420337752,2.0,0.0020473945318967885,875.0
282,282.0,0.0030227359385319205,1.0,0.0015404518221219755,2.0,0.0020478066712177746,876.0
283,283.0,0.002989965859580733,1.0,0.0015451667034409268,2.0,0.0020482139663943657,877.0
284,284.0,0.0029574505391602407,1.0,0.0015498444040933765,2.0,0.002048616338773414,878.0
285,285.0,0.002925155237478846,1.0,0.0015544853240453847,2.0,0.0020490137564953396,879.0
286,286.0,0.0028933530584883105,1.0,0.0015590894457361878,2.0,0.002049406344606013,880.0
287,287.0,0.002861869879199652,1.0,0.0015636567043643295,2.0,0.002049794183086251,881.0
288,288.0,0.0028305883043491776,1.0,0.0015681874698243784,2.0,0.0020501772117294693,882.0
289,289.0,0.0027996774350768916,1.0,0.0015726818494740797,2.0,0.0020505553465048755,883.0
290,290.0,0.002769134665617275,1.0,0.001577139773597606,2.0,0.002050928555656561,884.0
291,291.0,0.002738848303513662,1.0,0.0015815614458617412,2.0,0.0020512968364442535,885.0
